,Unnamed: 0,gameID,tc,timeclass,w_accuracy,b_accuracy,w_rating,b_rating,w_result,b_result,w_user,b_user,w_rapid_wins,w_rapid_losses,w_rapid_draws,w_blitz_rating,w_blitz_wins,w_blitz_losses,w_blitz_draws,w_bullet_rating,w_bullet_wins,w_bullet_losses,w_bullet_draws,w_tactics_rating,w_rush_rating,b_rapid_rating,b_rapid_wins,b_rapid_losses,b_rapid_draws,b_blitz_rating,b_blitz_wins,b_blitz_losses,b_blitz_draws,b_bullet_rating,b_bullet_wins,b_bullet_losses,b_bullet_draws,b_tactics_rating,b_rush_rating,w_rapid_rating,moves,opening
10,10,52203578735,600,rapid,NULL,NULL,1352,1349,checkmated,win,sriamman,1173043553,2521.0,2506.0,460.0,1054.0,6483.0,6485.0,645.0,1218.0,1.0,1.0,0.0,1190.0,NULL,1349.0,67.0,52.0,8.0,1383.0,177.0,150.0,16.0,1338.0,1.0,1.0,0.0,2172.0,28.0,1369.0,1. e4  1... e5  2. d3  2... Nc6  3. Nf3  3... Nf6  4. h3  4... Bc5  5. Nc3  5... O-O  6. Be2  6... d5  7. exd5  7... Nxd5  8. Nxd5  8... Qxd5  9. O-O  9... Re8  10. a3  10... Bf5  11. Ne1  11... e4  12. dxe4  12... Qxd1  13. Bxd1  13... Bxe4  14. Bf3  14... Nd4  15. Bxe4  15... Rxe4  16. Be3  16... Rae8  17. Bxd4  17... Bxd4  18. c3  18... Bc5  19. Nf3  19... Re2  20. Rab1  20... a5  21. b4  21... axb4  22. axb4  22... Bb6  23. c4  23... c6  24. c5  24... Bc7  25. Nd4  25... R2e4  26. Nf3  26... b5  27. Rfd1  27... g6  28. Rd7  28... Bf4  29. g3  29... Bh6  30. Rd6  30... R8e6  31. Rxe6  31... Rxe6  32. Nd4  32... Rf6  33. f4  33... g5  34. Ne2  34... gxf4  35. gxf4  35... Bxf4  36. Nxf4  36... Rxf4  37. Kg2  37... Kg7  38. Kg3  38... Rc4  39. h4  39... Kg6  40. Kh3  40... Kh5  41. Rf1  41... Rxh4+  42. Kg3  42... Rxb4  43. Rxf7  43... Rb3+  44. Kf4  44... Kg6  45. Rc7  45... Rc3  46. Rxc6+  46... Kf7  47. Rc7+  47... Kg8  48. Ke4  48... b4  49. Kd4  49... Rc1  50. Rb7  50... Rb1  51. c6  51... Rd1+  52. Kc5  52... Rc1+  53. Kd6  53... Rd1+  54. Kc7  54... Rc1  55. Kb8  55... h5  56. Rxb4  56... Rxc6  57. Rh4  57... Rc5  58. Kb7  58... Kg7  59. Kb6  59... Rf5  60. Kc6  60... Kg6  61. Kd6  61... Kg5  62. Rh1  62... Kg4  63. Ke6  63... Rf3  64. Ke5  64... h4  65. Ke4  65... Rf8  66. Rg1+  66... Kh5  67. Rh1  67... Rf7  68. Rd1  68... h3  69. Rh1  69... Kh4  70. Ke5  70... Kg3  71. Ke6  71... Rf2  72. Ke5  72... Kg2  73. Rxh3  73... Kxh3  74. Ke4  74... Kg3  75. Ke5  75... Kf3  76. Ke6  76... Ke4  77. Kd6  77... Rf5  78. Ke6  78... Ra5  79. Kf6  79... Rb5  80. Ke6  80... Rb6+  81. Kd7  81... Ke5  82. Kc7  82... Rh6  83. Kd7  83... Rg6  84. Ke7  84... Rg7+  85. Kd8  85... Ke6  86. Kc8  86... Kd6  87. Kb8  87... Kc6  88. Ka8  88... Kb6  89. Kb8  89... Rg8#  0-1,Kings-Pawn-Opening-Leonardis-Variation
11,11,56908308059,300+5,blitz,NULL,NULL,1389,1326,win,resigned,123123wdawd,Apwa,998.0,936.0,132.0,1389.0,906.0,877.0,86.0,1236.0,50.0,46.0,1.0,2419.0,25.0,NULL,NULL,NULL,NULL,1363.0,441.0,410.0,20.0,NULL,NULL,NULL,NULL,2129.0,21.0,1825.0,1. e4  1... c5  2. c3  2... Nc6  3. d4  3... e6  4. Nf3  4... cxd4  5. cxd4  5... Nf6  6. Nc3  6... Bb4  7. e5  7... Nd5  8. Qc2  8... Qb6  9. Be3  9... Nxe3  10. fxe3  10... d6  11. exd6  11... Bxd6  12. Bd3  12... Nb4  13. Qb1  13... Nxd3+  14. Qxd3  14... Qxb2  15. O-O  15... O-O  16. Nb5  16... Bxh2+  17. Kxh2  17... Qb4  18. Rfb1  18... Qe7  19. a4  19... b6  20. Rc1  20... Bb7  21. Rc7  1-0,Sicilian-Defense-Alapin-Variation-2...Nc6-3.d4
12,12,56899844967,600,rapid,NULL,NULL,100,183,abandoned,win,slippinslim,123456788abc,0.0,3.0,2.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,183.0,16.0,35.0,3.0,NULL,NULL,NULL,NULL,433.0,0.0,3.0,0.0,796.0,1.0,223.0,1. c4  1... c5  2. g4  2... g5  3. e4  3... e5  4. Nf3  4... Nf6  5. Nxe5  5... Nxe4  6. f3  6... Nd6  7. f4  7... gxf4  8. d3  8... Qh4+  9. Kd2  9... Qf2+  10. Kc3  10... f6  11. Bxf4  11... fxe5  12. Bxe5  12... Nf7  13. Bxh8  13... Nxh8  14. Rg1  14... Qxg1  0-1,English-Opening-Symmetrical-Variation
13,13,56839829215,180,blitz,NULL,NULL,1287,1346,resigned,win,yrohit007,12345cmt,NULL,NULL,NULL,1291.0,93.0,88.0,9.0,NULL,NULL,NULL,NULL,NULL,NULL,1326.0,1492.0,1436.0,120.0,1346.0,5323.0,5308.0,403.0,1378.0,60.0,36.0,2.0,956.0,11.0,NULL,1. e4  1... c6  2. d4  2... d5  3. exd5  3... cxd5  4. Nf3  4... Bg4  5. h3  5... Bxf3  6. Qxf3  6... e6  7. Nc3  7... Nf6  8. Bb5+  8... Nc6  9. Bg5  9... Be7  10. O-O-O  10... Qb6  11. Ba4  11... a6  12. Rhe1  12... O-O  13. Qg3  13... Rfd8  14. h4  14... Nxd4  15. h5  15... Nf5  16. Qd3  16... Qxf2  17. h6  17... g6  18. Re2  18... Qg3  19. Qd2  19... Ne4  20. Nxe4  20... dxe4  21. Qe1  21... Qxg5+  22. Kb1  22... Qxh6  23. Rxe4  23... Rxd1+  24. Qxd1  24... Qf8  25. Qd2  25... b5  26. Bb3  26... Qd8  27. Qe2  27... Nd4  28. Qe3  28... Nxb3  29. axb3  29... Qd1+  30. Ka2  30... a5  31. Qh6  31... a4  32. b4  32... Qd5+  0-1,Caro-Kann-Defense-Exchange-Variation-3...cxd5-4.Nf3
14,14,56900488389,1800,rapid,79.66,76.24,1008,1008,timeout,win,favouringarrow,1234qwerxg,478.0,470.0,33.0,819.0,14.0,17.0,1.0,735.0,0.0,1.0,0.0,1652.0,20.0,1008.0,69.0,56.0,9.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,400.0,NULL,1008.0,1. e4  1... e5  2. Nf3  2... Nc6  3. Bc4  3... Bc5  4. Nc3  4... Nf6  5. O-O  5... O-O  6. d3  6... h6  7. Qe2  7... Nd4  8. Nxd4  8... exd4  9. Nd5  9... Nxd5  10. Bxd5  10... c6  11. Bb3  11... d5  12. exd5  12... cxd5  13. Qd2  13... Be7  14. c3  14... dxc3  15. bxc3  15... d4  16. Bb2  16... Qa5  17. a3  17... Bg5  18. Qc2  18... dxc3  19. Qxc3  19... Qxc3  20. Bxc3  20... Rd8  21. d4  21... Bf6  22. Rad1  22... a5  23. Rfe1  23... a4  24. Ba2  24... b5  25. Re4  25... Bf5  26. Re3  26... Bg5  27. Re5  27... Bd7  28. h3  28... Re8  29. Rxe8+  29... Rxe8  30. Bd5  30... Rc8  31. Bb4  31... Rc2  32. Re1  32... Rd2  33. Bxd2  33... Bxd2  34. Re7  34... Be6  35. Bxe6  35... fxe6  36. Rxe6  36... b4  37. axb4  37... Bxb4  38. d5  38... a3  39. Ra6  39... Kh7  0-1,Giuoco-Piano-Game-Four-Knights-Game
15,15,54798921381,900+10,rapid,71.58,84.35,1501,1616,resigned,win,123abc987,chenchen0215,604.0,516.0,62.0,1241.0,142.0,108.0,6.0,564.0,1.0,2.0,0.0,2362.0,7.0,1666.0,222.0,171.0,23.0,1443.0,37.0,15.0,2.0,946.0,27.0,17.0,4.0,3057.0,40.0,1501.0,1. d4  1... Nf6  2. c4  2... g6  3. Nc3  3... d5  4. cxd5  4... Nxd5  5. e4  5... Nxc3  6. bxc3  6... Bg7  7. Nf3  7... c5  8. Bc4  8... Nc6  9. O-O  9... cxd4  10. Qb3  10... O-O  11. cxd4  11... Nxd4  12. Nxd4  12... Qxd4  13. Be3  13... Qxa1  14. Rxa1  14... Bxa1  15. f4  15... e6  16. e5  16... b6  17. Bc1  17... Bd4+  18. Kf1  18... Bb7  19. Ba3  19... Rfd8  20. Be7  20... Rd7  21. Bf6  21... Rc8  22. Qh3  22... Bc5  23. Ke2  23... Bf8  24. Bb3  24... Ba6+  25. Kf2  25... Bc5+  26. Ke1  26... Bb4+  0-1,Grunfeld-Defense-Exchange-Modern-Exchange-Variation-7...c5
16,16,430022141,1/259200,daily,NULL,NULL,1107,1016,win,timeout,13187748450,Saturnianin2,1444.0,1408.0,161.0,845.0,103.0,98.0,10.0,548.0,13.0,27.0,0.0,517.0,NULL,1410.0,73.0,67.0,12.0,1267.0,3486.0,3497.0,200.0,NULL,NULL,NULL,NULL,2326.0,NULL,1324.0,1. e3  1-0,Vant-Kruijs-Opening
17,17,56558382519,600,rapid,84.08,95.65,1243,1341,resigned,win,sayontika,13243546zcxvcbvnbm,119.0,107.0,2.0,1091.0,314.0,272.0,14.0,667.0,0.0,1.0,0.0,475.0,NULL,1341.0,11.0,8.0,2.0,1320.0,3.0,2.0,0.0,905.0,0.0,3.0,0.0,2603.0,39.0,1243.0,1. d4  1... Nf6  2. c4  2... g6  3. Nc3  3... d5  4. cxd5  4... Nxd5  5. Nxd5  5... Qxd5  6. Nf3  6... Bg7  7. e3  7... Bg4  8. Be2  8... Nc6  9. O-O  9... O-O  10. Qc2  10... Bf5  11. Qd2  11... e5  12. Nxe5  12... Nxe5  13. dxe5  13... Qxe5  14. Bf3  14... Rad8  15. Qb4  15... b6  16. Bd2  16... Qxb2  17. Rab1  17... Bxb1  18. Qxb2  18... Bxb2  19. Rxb1  19... Rxd2  20. h3  20... Ba3  21. Rb3  21... Rxa2  22. Rd3  22... Ra1+  23. Kh2  23... Bd6+  24. g3  24... Ra2  25. Kg2  25... Re8  26. Bc6  26... Re5  27. Kf3  27... Rf5+  28. Ke4  28... Rfxf2  0-1,Grunfeld-Defense-Exchange-Variation
18,18,56827192499,300+5,blitz,NULL,NULL,862,884,win,resigned,tecnologiaonline,13579833862,908.0,822.0,157.0,866.0,378.0,337.0,41.0,187.0,4.0,10.0,0.0,1649.0,4.0,1258.0,352.0,343.0,11.0,884.0,864.0,951.0,60.0,NULL,NULL,NULL,NULL,1575.0,NULL,1010.0,1. e4  1... e5  2. Nf3  2... d6  3. Bc4  3... Be6  4. Bb3  4... c6  5. Nc3  5... Qe7  6. O-O  6... Nd7  7. Re1  7... h5  8. h3  8... h4  9. d3  9... O-O-O  10. Bg5  10... f6  11. Bxh4  11... g5  12. Bg3  12... g4  13. hxg4  13... Bxg4  14. Qd2  14... Bxf3  15. gxf3  15... Nh6  16. Kf1  16... d5  17. exd5  17... cxd5  18. Nxd5  18... Qd6  19. Qc3+  19... Kb8  20. d4  20... e4  21. Bxd6+  21... Bxd6  22. fxe4  22... Ng4  23. Ke2  23... Rhe8  24. f3  24... f5  25. fxg4  25... Rxe4+  26. Kd2  26... Rxg4  27. Re2  27... a5  28. Rf1  28... Bb4  29. Nxb4  29... axb4  30. Qxb4  30... Nf6  31. c3  31... Ne4+  32. Kc1  32... Ng3  33. Rfe1  33... Nxe2+  34. Rxe2  34... f4  35. Rf2  35... Rg1+  36. Kc2  36... Rg4  37. Qe7  37... Rc8  38. Qe5+  38... Ka8  39. Rxf4  39... Rg2+  40. Kb1  40... Rgg8  41. Bxg8  41... Rxg8  42. d5  42... Rg1+  43. Kc2  43... Rg2+  44. Kb3  1-0,Philidor-Defense-3.Bc4
19,19,56856044473,600,rapid,77.12,73.15,1261,1289,win,resigned,13580297q,dpotter8008158,379.0,327.0,38.0,863.0,19.0,11.0,1.0,860.0,10.0,1.0,0.0,1818.0,16.0,1289.0,577.0,540.0,64.0,1143.0,3.0,1.0,0.0,1043.0,1.0,1.0,0.0,2325.0,20.0,1261.0,1. e4  1... e6  2. d4  2... Be7  3. Bf4  3... d6  4. Bc4  4... Nf6  5. Nc3  5... Nc6  6. Nf3  6... O-O  7. Qd2  7... Nh5  8. Bh6  8... gxh6  9. Qxh6  9... Ng7  10. O-O-O  10... e5  11. Nd5  11... Bg4  12. Nxe7+  12... Qxe7  13. Ng5  13... Qxg5+  14. Qxg5  14... Bxd1  15. Rxd1  15... Nxd4  16. Rd3  16... Ne2+  17. Kd2  17... Nf4  18. Rg3  18... Ng6  19. h4  19... Ne6  20. Bxe6  20... fxe6  21. Ke3  21... Rf7  22. h5  22... Rg7  23. hxg6  23... Rxg6  24. Qe7  1-0,French-Defense-Normal-Variation
20,20,56889622137,600,rapid,NULL,NULL,1358,1356,win,resigned,13666626873,cosmosid,2142.0,2064.0,142.0,1250.0,1223.0,1205.0,76.0,NULL,NULL,NULL,NULL,1227.0,0.0,1348.0,822.0,799.0,89.0,1161.0,55.0,47.0,4.0,NULL,NULL,NULL,NULL,1314.0,NULL,1358.0,1. e4  1... c5  2. Nf3  2... Nc6  3. Bc4  3... d6  4. c3  4... e6  5. d4  5... cxd4  6. cxd4  6... Nf6  7. Nc3  7... Qa5  8. O-O  8... Be7  9. a3  9... O-O  10. b4  10... Qc7  11. Bg5  11... Nxb4  12. axb4  12... Qxc4  13. Rc1  13... Re8  14. e5  14... dxe5  15. Nxe5  15... Qxb4  16. f4  16... b6  17. Rf3  17... Bb7  18. Rg3  18... Nd5  19. Nxd5  19... Bxd5  20. Bxe7  20... Rxe7  21. Qg4  21... g6  22. Qg5  22... Qxd4+  23. Kh1  23... Qd2  24. Rf1  24... Rc7  25. h4  25... Rc1  26. Rxc1  26... Qxc1+  27. Kh2  27... Rc8  28. Qf6  28... Qc7  29. h5  29... Qd8  30. Qxf7+  1-0,Sicilian-Defense-Old-Sicilian-Variation
21,21,56732414399,900+10,rapid,81.72,72.79,2008,1989,win,checkmated,TargaFlorio83,13963619150,624.0,433.0,41.0,923.0,95.0,75.0,3.0,NULL,NULL,NULL,NULL,2041.0,NULL,1989.0,865.0,951.0,144.0,1776.0,581.0,692.0,84.0,1222.0,1.0,3.0,0.0,3115.0,3.0,2032.0,1. d4  1... Nf6  2. Bf4  2... g6  3. Nf3  3... Bg7  4. Qd2  4... O-O  5. Bh6  5... d6  6. Bxg7  6... Kxg7  7. e3  7... Nbd7  8. Bd3  8... c5  9. c3  9... Nb6  10. b3  10... Be6  11. c4  11... Rc8  12. Ng5  12... Bd7  13. Nc3  13... h6  14. Nge4  14... Nh7  15. O-O  15... f5  16. Ng3  16... e5  17. d5  17... Qg5  18. f4  18... Qh4  19. e4  19... Nf6  20. exf5  20... Ng4  21. h3  21... Qxg3  22. hxg4  22... Qxg4  23. Ne4  23... Bxf5  24. Nxd6  24... Bxd3  25. Qxd3  25... Rc7  26. fxe5  26... Qd4+  27. Qxd4  27... cxd4  28. Nb5  28... Re7  29. e6  29... d3  30. Rxf8  30... Kxf8  31. Rd1  31... a6  32. Nd4  32... Nc8  33. Rxd3  33... Nd6  34. Rh3  34... Kg7  35. a4  35... Ne4  36. Nf3  36... b5  37. cxb5  37... axb5  38. a5  38... Rc7  39. Ne5  39... Rc1+  40. Kh2  40... Kf6  41. Ng4+  41... Ke7  42. Rxh6  42... Rd1  43. Rh7+  43... Ke8  44. a6  44... Ng5  45. Nf6+  45... Kf8  46. e7#  1-0,Indian-Game
